,Unnamed: 0.1,Unnamed: 0,class,order,family,genus,species,subspecies,common_name,female_maturity_d,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,male_maturity_d,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,sciname,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
0,0,0,Aves,Accipitriformes,Accipitridae,Accipiter,albogularis,-999,Pied Goshawk,-999.0,-999.0,-999.0,251.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,352.5,223.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter albogularis,93514055,22695535,Accipiter albogularis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,albogularis,,,,"Gray, 1870",Least Concern,,3.1,Stable,Global
1,1,1,Aves,Accipitriformes,Accipitridae,Accipiter,badius,-999,Shikra,363.468,3.25,1.0,140.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.0,30.0,32.0,-999.0,-999.0,-999.0,168.5,125.0,123.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter badius,197951702,22695490,Accipiter badius,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,badius,,,,"(Gmelin, 1788)",Least Concern,,3.1,Stable,Global
2,2,2,Aves,Accipitriformes,Accipitridae,Accipiter,bicolor,-999,Bicolored Hawk,-999.0,2.7,-999.0,345.0,-999.0,-999.0,-999.0,-999.0,-999.0,32.0,-999.0,-999.0,-999.0,-999.0,-999.0,390.0,212.0,-999.0,-999.0,-999.0,-999.0,39.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter bicolor,168769390,22695669,Accipiter bicolor,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,bicolor,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
4,4,4,Aves,Accipitriformes,Accipitridae,Accipiter,brevipes,-999,Levant Sparrowhawk,363.468,4.0,1.0,203.5,-999.0,-999.0,-999.0,-999.0,-999.0,21.85,32.5,42.5,-999.0,-999.0,-999.0,230.5,170.0,-999.0,-999.0,-999.0,-999.0,33.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter brevipes,198250662,22695499,Accipiter brevipes,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,brevipes,,,,"(Severtsov, 1850)",Least Concern,,3.1,Stable,Global
5,5,5,Aves,Accipitriformes,Accipitridae,Accipiter,castanilius,-999,Chestnut-flanked Sparrowhawk,-999.0,-999.0,-999.0,159.375,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,176.0,142.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter castanilius,93511134,22695486,Accipiter castanilius,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,castanilius,,,,"Bonaparte, 1853",Least Concern,,3.1,Decreasing,Global
6,6,6,Aves,Accipitriformes,Accipitridae,Accipiter,cirrocephalus,-999,Collared Sparrowhawk,-999.0,3.25,-999.0,180.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.75,-999.0,-999.0,-999.0,-999.0,-999.0,231.0,127.25,-999.0,-999.0,-999.0,-999.0,32.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter cirrocephalus,93518623,22695599,Accipiter cirrocephalus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,cirrocephalus,,,,"(Vieillot, 1817)",Least Concern,,3.1,Decreasing,Global
7,7,7,Aves,Accipitriformes,Accipitridae,Accipiter,cooperii,-999,Cooper's Hawk,730.0,4.35,1.0,452.0,20.33333333,-999.0,-999.0,28.0,-999.0,40.0,29.75,32.0,12.0,730.0,-999.0,529.0,338.5,452.0,-999.0,-999.0,-999.0,42.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter cooperii,93521264,22695656,Accipiter cooperii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,cooperii,,,,"(Bonaparte, 1828)",Least Concern,,3.1,Increasing,Global
9,9,9,Aves,Accipitriformes,Accipitridae,Accipiter,erythropus,-999,Red-thighed Sparrowhawk,-999.0,2.0,-999.0,107.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.5,-999.0,-999.0,-999.0,-999.0,-999.0,146.0,84.7,-999.0,-999.0,-999.0,-999.0,24.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter erythropus,93516770,22695576,Accipiter erythropus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,erythropus,,,,"(Hartlaub, 1855)",Least Concern,,3.1,Decreasing,Global
10,10,10,Aves,Accipitriformes,Accipitridae,Accipiter,fasciatus,-999,Brown Goshawk,-999.0,3.0,-999.0,453.5,-999.0,-999.0,-999.0,-999.0,-999.0,31.0,30.0,30.0,-999.0,-999.0,-999.0,499.375,303.25,-999.0,-999.0,-999.0,-999.0,44.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter fasciatus,93513623,22695527,Accipiter fasciatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,fasciatus,,,,"(Vigors & Horsfield, 1827)",Least Concern,,3.1,Decreasing,Global
11,11,11,Aves,Accipitriformes,Accipitridae,Accipiter,francesiae,-999,Frances's Sparrowhawk,-999.0,3.0,-999.0,135.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,154.25,119.5,-999.0,-999.0,-999.0,-999.0,25.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter francesiae,93513268,22695508,Accipiter francesiae,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,francesiae,,,,"Smith, 1834",Least Concern,,3.1,Stable,Global
12,12,12,Aves,Accipitriformes,Accipitridae,Accipiter,gentilis,-999,Northern Goshawk,636.835,3.5,1.0,988.75,22.0,-999.0,-999.0,37.0,-999.0,58.0,34.75,41.65,17.70833333,730.0,-999.0,1117.333334,734.0,924.5,-999.0,-999.0,-999.0,54.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter gentilis,198505113,22695683,Accipiter gentilis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,gentilis,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Unknown,Global
13,13,13,Aves,Accipitriformes,Accipitridae,Accipiter,griseiceps,-999,Sulawesi Goshawk,-999.0,-999.0,-999.0,255.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,299.0,212.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter griseiceps,93510962,22695465,Accipiter griseiceps,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,griseiceps,,,,"(Schlegel, 1862)",Least Concern,,3.1,Decreasing,Global
14,14,14,Aves,Accipitriformes,Accipitridae,Accipiter,gularis,-999,Japanese Sparrowhawk,-999.0,3.2,-999.0,118.75,-999.0,-999.0,-999.0,-999.0,-999.0,18.0,-999.0,-999.0,-999.0,-999.0,-999.0,140.75,103.5,-999.0,-999.0,-999.0,-999.0,28.25,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter gularis,198774300,22695585,Accipiter gularis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,gularis,,,,"(Temminck & Schlegel, 1844)",Least Concern,,3.1,Stable,Global
16,16,16,Aves,Accipitriformes,Accipitridae,Accipiter,haplochrous,-999,White-bellied Goshawk,-999.0,3.0,-999.0,240.5,-999.0,-999.0,-999.0,-999.0,-999.0,25.5,-999.0,-999.0,-999.0,-999.0,-999.0,254.0,157.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter haplochrous,93514419,22695541,Accipiter haplochrous,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,haplochrous,,,,"Sclater, 1859",Near Threatened,C2a(ii),3.1,Decreasing,Global
18,18,18,Aves,Accipitriformes,Accipitridae,Accipiter,hiogaster,-999,Variable Goshawk,-999.0,2.725,-999.0,342.75,-999.0,-999.0,-999.0,-999.0,-999.0,40.5,-999.0,-999.0,-999.0,-999.0,-999.0,597.25,261.375,354.0,-999.0,-999.0,-999.0,49.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter hiogaster,94958386,22727721,Accipiter hiogaster,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,hiogaster,,,,"(Müller, 1841)",Least Concern,,3.1,Stable,Global
19,19,19,Aves,Accipitriformes,Accipitridae,Accipiter,imitator,-999,Imitator Goshawk,-999.0,-999.0,-999.0,237.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,238.0,208.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter imitator,93515433,22695553,Accipiter imitator,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,imitator,,,,"Hartert, 1926",Vulnerable,C2a(i); D1,3.1,Decreasing,Global
21,21,21,Aves,Accipitriformes,Accipitridae,Accipiter,madagascariensis,-999,Madagascan Sparrowhawk,-999.0,3.0,-999.0,182.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,209.5,156.0,-999.0,-999.0,-999.0,-999.0,36.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter madagascariensis,129916593,22695613,Accipiter madagascariensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,madagascariensis,,,,"Smith, 1834",Near Threatened,A2c+3c+4c,3.1,Decreasing,Global
23,23,23,Aves,Accipitriformes,Accipitridae,Accipiter,melanoleucus,-999,Black Sparrowhawk,1090.404,2.8,1.0,701.8833333,10.0,-999.0,-999.0,-999.0,-999.0,50.75,37.5,40.0,7.5,-999.0,-999.0,865.0,550.0,699.15,-999.0,-999.0,-999.0,47.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter melanoleucus,93522165,22695673,Accipiter melanoleucus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,melanoleucus,,,,"Smith, 1830",Least Concern,,3.1,Decreasing,Global
24,24,24,Aves,Accipitriformes,Accipitridae,Accipiter,meyerianus,-999,Meyer's Goshawk,-999.0,3.0,-999.0,815.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1100.0,530.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter meyerianus,93523669,22695689,Accipiter meyerianus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,meyerianus,,,,"(Sharpe, 1878)",Least Concern,,3.1,Decreasing,Global
25,25,25,Aves,Accipitriformes,Accipitridae,Accipiter,minullus,-999,Little Sparrowhawk,363.468,2.0,-999.0,84.05,-999.0,-999.0,-999.0,-999.0,-999.0,17.95,31.5,25.5,-999.0,-999.0,-999.0,97.25,80.9,-999.0,-999.0,-999.0,-999.0,22.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter minullus,93517052,22695581,Accipiter minullus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,minullus,,,,"(Daudin, 1800)",Least Concern,,3.1,Stable,Global
26,26,26,Aves,Accipitriformes,Accipitridae,Accipiter,nisus,-999,Eurasian Sparrowhawk,365.0,4.75,1.0,212.0,20.25,-999.0,-999.0,13.8,-999.0,22.5,34.0,26.5,17.89166667,365.0,-999.0,290.0,147.0,169.5,-999.0,-999.0,-999.0,34.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter nisus,199751254,22695624,Accipiter nisus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,nisus,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
27,27,27,Aves,Accipitriformes,Accipitridae,Accipiter,novaehollandiae,-999,Grey Goshawk,-999.0,2.725,-999.0,479.5833333,-999.0,-999.0,-999.0,-999.0,-999.0,40.5,-999.0,-999.0,-999.0,-999.0,-999.0,716.0,312.0,354.0,-999.0,-999.0,-999.0,49.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter novaehollandiae,94958201,22727714,Accipiter novaehollandiae,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,novaehollandiae,,,,"(Gmelin, 1788)",Least Concern,,3.1,Decreasing,Global
28,28,28,Aves,Accipitriformes,Accipitridae,Accipiter,ovampensis,-999,Ovambo Sparrowhawk,-999.0,3.0,-999.0,199.1666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,33.0,33.0,-999.0,-999.0,-999.0,260.0,140.0,195.0,-999.0,-999.0,-999.0,34.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter ovampensis,199837007,22695619,Accipiter ovampensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,ovampensis,,,,"Gurney, 1875",Least Concern,,3.1,Increasing,Global
29,29,29,Aves,Accipitriformes,Accipitridae,Accipiter,poliocephalus,-999,Grey-headed Goshawk,-999.0,1.0,-999.0,225.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,253.0,205.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter poliocephalus,93515750,22695558,Accipiter poliocephalus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,poliocephalus,,,,"Gray, 1858",Least Concern,,3.1,Stable,Global
30,30,30,Aves,Accipitriformes,Accipitridae,Accipiter,rhodogaster,-999,Vinous-breasted Sparrowhawk,-999.0,-999.0,-999.0,188.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,264.0,113.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter rhodogaster,93519156,22695610,Accipiter rhodogaster,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,rhodogaster,,,,"(Schlegel, 1862)",Least Concern,,3.1,Decreasing,Global
33,33,33,Aves,Accipitriformes,Accipitridae,Accipiter,soloensis,-999,Chinese Sparrowhawk,726.936,3.5,-999.0,161.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.0,-999.0,-999.0,-999.0,-999.0,-999.0,192.5,149.5,-999.0,-999.0,-999.0,-999.0,27.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter soloensis,154677417,22695503,Accipiter soloensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,soloensis,,,,"(Horsfield, 1821)",Least Concern,,3.1,Decreasing,Global
34,34,34,Aves,Accipitriformes,Accipitridae,Accipiter,striatus,-999,Sharp-shinned Hawk,547.875,4.25,1.0,138.5,19.9,-999.0,-999.0,-999.0,-999.0,19.3,33.0,24.25,12.58333333,365.0,-999.0,174.0,103.0,138.5,-999.0,-999.0,-999.0,29.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter striatus,155416546,22734130,Accipiter striatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,striatus,,,,"Vieillot, 1807",Least Concern,,3.1,Increasing,Global
35,35,35,Aves,Accipitriformes,Accipitridae,Accipiter,superciliosus,-999,Tiny Hawk,-999.0,1.85,-999.0,73.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,134.0,73.875,-999.0,-999.0,-999.0,-999.0,23.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter superciliosus,168764980,22695565,Accipiter superciliosus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,superciliosus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
36,36,36,Aves,Accipitriformes,Accipitridae,Accipiter,tachiro,-999,African Goshawk,-999.0,2.45,1.5,298.5,-999.0,-999.0,-999.0,-999.0,-999.0,34.0,29.0,32.0,-999.0,-999.0,-999.0,340.5,203.5,341.85,-999.0,-999.0,-999.0,38.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter tachiro,95230244,22727697,Accipiter tachiro,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,tachiro,,,,"(Daudin, 1800)",Least Concern,,3.1,Decreasing,Global
37,37,37,Aves,Accipitriformes,Accipitridae,Accipiter,toussenelii,-999,Red-chested Goshawk,-999.0,2.45,1.5,298.5,-999.0,-999.0,-999.0,-999.0,-999.0,34.0,29.0,32.0,-999.0,-999.0,-999.0,340.5,203.5,341.85,-999.0,-999.0,-999.0,38.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter toussenelii,94957870,22727705,Accipiter toussenelii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,toussenelii,,,,"(Verreaux &amp; Verreaux, 1855)",Least Concern,,3.1,Decreasing,Global
39,39,39,Aves,Accipitriformes,Accipitridae,Accipiter,trivirgatus,-999,Crested Goshawk,-999.0,2.0,-999.0,276.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,353.0,199.0,-999.0,-999.0,-999.0,-999.0,38.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter trivirgatus,93510676,22695462,Accipiter trivirgatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,trivirgatus,,,,"(Temminck, 1824)",Least Concern,,3.1,Decreasing,Global
40,40,40,Aves,Accipitriformes,Accipitridae,Accipiter,virgatus,-999,Besra,-999.0,3.5,-999.0,113.5,-999.0,-999.0,-999.0,-999.0,-999.0,18.0,-999.0,-999.0,-999.0,-999.0,-999.0,141.5,101.825,-999.0,-999.0,-999.0,-999.0,30.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Accipiter virgatus,154677901,22695588,Accipiter virgatus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Accipiter,virgatus,,,,"(Temminck, 1822)",Least Concern,,3.1,Decreasing,Global
41,41,41,Aves,Accipitriformes,Accipitridae,Aegypius,monachus,-999,Cinereous Vulture,1999.074,1.0,1.0,9625.0,39.0,-999.0,-999.0,-999.0,-999.0,243.0,53.5,112.5,32.25,-999.0,-999.0,10000.0,9250.0,8200.0,-999.0,-999.0,-999.0,110.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aegypius monachus,154915043,22695231,Aegypius monachus,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aegypius,monachus,,,,"(Linnaeus, 1766)",Near Threatened,C1,3.1,Decreasing,Global
42,42,42,Aves,Accipitriformes,Accipitridae,Aquila,adalberti,-999,Spanish Imperial Eagle,1767.453,2.5,1.0,3262.0,56.0,-999.0,-999.0,78.0,-999.0,132.0,43.0,71.0,44.5,-999.0,-999.0,3873.0,2624.0,3000.0,-999.0,-999.0,-999.0,76.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila adalberti,205085721,22696042,Aquila adalberti,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,adalberti,,,,"Brehm, 1861",Vulnerable,D1,3.1,Increasing,Global
43,43,43,Aves,Accipitriformes,Accipitridae,Aquila,africana,-999,Cassin's Hawk-Eagle,-999.0,-999.0,-999.0,1060.125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1153.0,993.75,1046.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila africana,111714549,22696138,Aquila africana,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,africana,,,,"(Cassin, 1865)",Least Concern,,3.1,Decreasing,Global
44,44,44,Aves,Accipitriformes,Accipitridae,Aquila,audax,-999,Wedge-tailed Eagle,1638.279,2.0,2.0,3466.0,40.0,-999.0,-999.0,-999.0,-999.0,143.0,43.0,79.0,33.2,1095.75,1.0,3855.0,3041.5,3402.0,-999.0,-999.0,-999.0,95.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,1095.75,Aquila audax,93542539,22696064,Aquila audax,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,audax,,,,"(Latham, 1801)",Least Concern,,3.1,Increasing,Global
45,45,45,Aves,Accipitriformes,Accipitridae,Aquila,chrysaetos,-999,Golden Eagle,1460.0,2.0,1.0,4383.0,48.0,-999.0,-999.0,104.05,-999.0,142.0,44.0,74.5,32.0,1460.0,-999.0,4692.25,3708.25,3640.75,-999.0,-999.0,3518.0,78.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila chrysaetos,202078899,22696060,Aquila chrysaetos,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,chrysaetos,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
46,46,46,Aves,Accipitriformes,Accipitridae,Aquila,fasciata,-999,Bonelli's Eagle,1090.404,2.0,1.0,2000.0,20.0,-999.0,-999.0,-999.0,-999.0,112.0,39.25,62.5,20.0,-999.0,-999.0,2500.0,1560.0,2049.0,-999.0,-999.0,-999.0,61.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila fasciata,155464015,22696076,Aquila fasciata,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,fasciata,,,,"(Vieillot, 1822)",Least Concern,,3.1,Decreasing,Global
48,48,48,Aves,Accipitriformes,Accipitridae,Aquila,heliaca,-999,Eastern Imperial Eagle,1635.606,2.5,1.0,3262.0,56.0,-999.0,-999.0,78.0,-999.0,132.25,43.0,70.5,56.0,-999.0,-999.0,3845.0,2949.0,-999.0,-999.0,-999.0,-999.0,76.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila heliaca,155464885,22696048,Aquila heliaca,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,heliaca,,,,"Savigny, 1809",Vulnerable,C2a(ii),3.1,Decreasing,Global
49,49,49,Aves,Accipitriformes,Accipitridae,Aquila,nipalensis,-999,Steppe Eagle,1453.872,2.0,1.0,2534.5,42.5,-999.0,-999.0,92.5,-999.0,117.0,44.5,84.0,40.65,-999.0,-999.0,2987.0,2333.0,2486.5,-999.0,-999.0,-999.0,68.25,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila nipalensis,205452572,22696038,Aquila nipalensis,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,nipalensis,,,,"Hodgson, 1833",Endangered,A2abcd+3bcd+4abcd,3.1,Decreasing,Global
50,50,50,Aves,Accipitriformes,Accipitridae,Aquila,rapax,-999,Tawny Eagle,1453.872,2.0,1.0,2347.0,42.5,-999.0,-999.0,92.5,-999.0,105.4,44.5,84.0,40.3,-999.0,-999.0,2405.5,2034.6,2486.5,-999.0,-999.0,-999.0,66.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila rapax,203852137,22696033,Aquila rapax,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,rapax,,,,"(Temminck, 1828)",Vulnerable,A2ace+3ce+4ace,3.1,Decreasing,Global
51,51,51,Aves,Accipitriformes,Accipitridae,Aquila,spilogaster,-999,African Hawk-Eagle,1453.872,2.0,1.0,1413.833333,-999.0,-999.0,-999.0,-999.0,-999.0,87.0,43.0,69.0,-999.0,-999.0,-999.0,1631.0,1318.0,1420.0,-999.0,-999.0,-999.0,58.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila spilogaster,93543538,22696084,Aquila spilogaster,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,spilogaster,,,,"(Bonaparte, 1850)",Least Concern,,3.1,Decreasing,Global
52,52,52,Aves,Accipitriformes,Accipitridae,Aquila,verreauxii,-999,Verreaux's Eagle,1817.34,2.0,1.0,4195.0,40.0,-999.0,-999.0,95.0,-999.0,147.5,44.5,94.0,40.0,-999.0,-999.0,4355.5,3665.0,4195.0,-999.0,-999.0,-999.0,84.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aquila verreauxii,95221980,22696067,Aquila verreauxii,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aquila,verreauxii,,,,"Lesson, 1830",Least Concern,,3.1,Stable,Global
56,56,56,Aves,Accipitriformes,Accipitridae,Aviceda,subcristata,-999,Pacific Baza,-999.0,2.5,-999.0,328.0,-999.0,-999.0,-999.0,-999.0,-999.0,29.0,-999.0,-999.0,-999.0,-999.0,-999.0,346.875,308.75,-999.0,-999.0,-999.0,-999.0,40.5,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,Aviceda subcristata,95221429,22694961,Aviceda subcristata,ANIMALIA,CHORDATA,ACCIPITRIFORMES,AVES,ACCIPITRIDAE,Aviceda,subcristata,,,,"(Gould, 1838)",Least Concern,,3.1,Stable,Global
